"date","grid","treatment","transect","genus","species","damage","percent"
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",2
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",2
"8/28/24","N2","control","N2_C","balanites","aegyptiaca","lb",4
"8/28/24","N2","control","N2_C","vachellia","melifera","lb",20
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",2
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",2
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_C","vachellia","etbaica","lb",30
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",5
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",2
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",5
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",10
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",10
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_C","vachellia","etbaica","sb",5
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",2
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",5
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_C","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_B","vachellia","etbaica","sb",2
"8/28/24","N2","control","N2_B","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_B","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_B","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_B","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_B","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_B","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_B","vachellia","etbaica","sb",10
"8/28/24","N2","control","N2_B","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_B","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_B","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_B","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_B","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_B","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_B","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_A","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_A","vachellia","etbaica","sb",5
