"treatment_period","week_id","grid_id","treatment","camera_id","camera_num","start_time","time_rad","daylight","common_name"
1,2,"N2","control","N2T1",13,"7/31/24 15:14",3.98807734080704,1,"African Elephant"
1,2,"N2","control","N2T1",13,"8/4/24 13:49",3.61719487475825,1,"African Elephant"
1,2,"N2","control","N2T1",13,"8/4/24 14:22",3.76118453804778,1,"African Elephant"
1,2,"N2","control","N2T12",24,"8/2/24 10:48",2.82743338823081,1,"African Elephant"
1,2,"N2","control","N2T12",24,"8/3/24 16:10",4.23242343608625,1,"African Elephant"
1,2,"N2","control","N2T12",24,"8/6/24 19:42",5.15744793964324,0,"African Elephant"
1,2,"N2","control","N2T2",14,"8/3/24 12:52",3.36848545634906,1,"African Elephant"
1,2,"N2","control","N2T2",14,"8/4/24 13:46",3.60410490536829,1,"African Elephant"
1,2,"N2","control","N2T4",16,"8/1/24 12:03",3.15468262297975,1,"African Elephant"
1,2,"N2","control","N2T4",16,"8/4/24 12:55",3.38157542573901,1,"African Elephant"
1,2,"N2","control","N2T4",16,"8/5/24 16:59",4.44622626945555,1,"African Elephant"
1,2,"N2","control","N2T5",17,"8/1/24 11:31",3.0150562828202,1,"African Elephant"
1,2,"N2","control","N2T5",17,"8/2/24 15:59",4.1844268816564,1,"African Elephant"
1,2,"N2","control","N2T5",17,"8/5/24 14:57",3.91390084759728,1,"African Elephant"
1,2,"N2","control","N2T5",17,"8/6/24 16:01",4.19315352791638,1,"African Elephant"
1,2,"N2","control","N2T6",18,"8/1/24 11:50",3.09795942228993,1,"African Elephant"
1,2,"N2","control","N2T6",18,"8/3/24 13:48",3.61283155162826,1,"African Elephant"
1,2,"N2","control","N2T7",19,"8/4/24 11:50",3.09795942228993,1,"African Elephant"
1,2,"N2","control","N2T7",19,"8/5/24 16:39",4.35895980685584,1,"African Elephant"
1,2,"N2","control","N2T9",21,"8/2/24 11:58",3.13286600732982,1,"African Elephant"
1,2,"S2","human","S2T2",2,"8/2/24 19:06",5.00036830696375,0,"African Elephant"
1,2,"S2","human","S2T4",4,"8/2/24 20:20",5.3232542185827,0,"African Elephant"
1,2,"S2","human","S2T6",6,"8/2/24 22:23",5.85994296357096,0,"African Elephant"
1,4,"N2","control","N2T1",13,"8/14/24 19:10",5.0178215994837,0,"African Elephant"
1,4,"N2","control","N2T1",13,"8/15/24 15:10",3.9706240482871,1,"African Elephant"
1,4,"N2","control","N2T1",13,"8/16/24 1:27",0.379609112308767,0,"African Elephant"
1,4,"N2","control","N2T1",13,"8/16/24 19:03",4.9872783375738,1,"African Elephant"
1,4,"N2","control","N2T1",13,"8/18/24 19:53",5.20544449407309,0,"African Elephant"
1,4,"N2","control","N2T1",13,"8/20/24 23:12",6.07374579694027,0,"African Elephant"
1,4,"N2","control","N2T10",22,"8/14/24 0:16",0.0698131700797732,0,"African Elephant"
1,4,"N2","control","N2T10",22,"8/14/24 10:44",2.80998009571087,1,"African Elephant"
1,4,"N2","control","N2T10",22,"8/15/24 20:32",5.37561409614254,0,"African Elephant"
1,4,"N2","control","N2T10",22,"8/19/24 6:04",1.58824961931484,0,"African Elephant"
1,4,"N2","control","N2T2",14,"8/19/24 11:12",2.93215314335047,1,"African Elephant"
1,4,"N2","control","N2T4",16,"8/15/24 17:37",4.61203254839502,1,"African Elephant"
1,4,"N2","control","N2T4",16,"8/15/24 18:29",4.83892535115428,1,"African Elephant"
1,4,"N2","control","N2T4",16,"8/15/24 20:39",5.40615735805244,0,"African Elephant"
1,4,"N2","control","N2T4",16,"8/16/24 16:34",4.33714319120591,1,"African Elephant"
1,4,"N2","control","N2T4",16,"8/16/24 18:45",4.90873852123405,1,"African Elephant"
1,4,"N2","control","N2T5",17,"8/15/24 22:18",5.83812634792103,0,"African Elephant"
1,4,"N2","control","N2T5",17,"8/16/24 17:24",4.5553093477052,1,"African Elephant"
1,4,"N2","control","N2T7",19,"8/15/24 18:44",4.90437519810407,1,"African Elephant"
1,4,"N2","control","N2T7",19,"8/20/24 22:45",5.95593607243065,0,"African Elephant"
1,4,"S2","human","S2T1",1,"8/15/24 17:15",4.51603943953533,1,"African Elephant"
1,4,"S2","human","S2T1",1,"8/16/24 20:38",5.40179403492245,0,"African Elephant"
1,4,"S2","human","S2T1",1,"8/19/24 19:29",5.10072473895343,0,"African Elephant"
1,4,"S2","human","S2T11",23,"8/16/24 16:21",4.28041999051609,1,"African Elephant"
1,4,"S2","human","S2T11",23,"8/18/24 15:06",3.95317075576716,1,"African Elephant"
1,4,"S2","human","S2T11",23,"8/19/24 15:32",4.06661715714679,1,"African Elephant"
1,4,"S2","human","S2T3",3,"8/18/24 22:56",6.00393262686049,0,"African Elephant"
1,4,"S2","human","S2T3",3,"8/19/24 19:45",5.1705379090332,0,"African Elephant"
1,4,"S2","human","S2T5",5,"8/17/24 9:53",2.58745061608159,1,"African Elephant"
1,4,"S2","human","S2T6",6,"8/15/24 21:15",5.56323699073192,0,"African Elephant"
1,4,"S2","human","S2T6",6,"8/18/24 23:04",6.03883921190038,0,"African Elephant"
1,4,"S2","human","S2T8",8,"8/18/24 19:05",4.99600498383377,0,"African Elephant"
1,4,"S2","human","S2T8",8,"8/19/24 16:51",4.41131968441567,1,"African Elephant"
1,4,"S2","human","S2T9",9,"8/16/24 20:43",5.42361065057238,0,"African Elephant"
1,4,"S2","human","S2T9",9,"8/19/24 21:51",5.72031662341142,0,"African Elephant"
2,7,"N2","human","N2T1",13,"9/17/24 21:18",5.57632696012188,0,"African Elephant"
2,7,"N2","human","N2T1",13,"9/20/24 17:43",4.63821248717493,1,"African Elephant"
2,7,"N2","human","N2T1",13,"9/22/24 17:24",4.5553093477052,1,"African Elephant"
2,7,"N2","human","N2T1",13,"9/22/24 20:05",5.25780437163292,0,"African Elephant"
2,7,"N2","human","N2T1",13,"9/22/24 21:04",5.51524043630208,0,"African Elephant"
2,7,"N2","human","N2T10",22,"9/18/24 13:57",3.65210145979813,1,"African Elephant"
2,7,"N2","human","N2T4",16,"9/21/24 19:22",5.07018147704353,0,"African Elephant"
2,7,"N2","human","N2T4",16,"9/22/24 21:15",5.56323699073192,0,"African Elephant"
2,7,"N2","human","N2T4",16,"9/22/24 23:24",6.1261056745001,0,"African Elephant"
2,7,"N2","human","N2T7",19,"9/18/24 14:26",3.77863783056772,1,"African Elephant"
2,7,"N2","human","N2T7",19,"9/22/24 22:21",5.85121631731099,0,"African Elephant"
2,7,"N2","human","N2T9",21,"9/18/24 13:42",3.58665161284835,1,"African Elephant"
2,7,"S2","control","S2T2",2,"9/18/24 7:02",1.84132236085402,1,"African Elephant"
2,7,"S2","control","S2T3",3,"9/17/24 18:48",4.92182849062401,1,"African Elephant"
2,7,"S2","control","S2T3",3,"9/18/24 12:47",3.34666884069913,1,"African Elephant"
2,7,"S2","control","S2T4",4,"9/18/24 14:38",3.83099770812755,1,"African Elephant"
2,7,"S2","control","S2T4",4,"9/18/24 15:17",4.001167310197,1,"African Elephant"
2,7,"S2","control","S2T4",4,"9/19/24 0:08",0.0349065850398866,0,"African Elephant"
2,7,"S2","control","S2T5",5,"9/21/24 12:12",3.19395253114962,1,"African Elephant"
2,7,"S2","control","S2T5",5,"9/21/24 13:27",3.52120176589856,1,"African Elephant"
2,7,"S2","control","S2T5",5,"9/21/24 14:31",3.80045444621765,1,"African Elephant"
2,7,"S2","control","S2T7",7,"9/22/24 9:49",2.56999732356165,1,"African Elephant"
2,7,"S2","control","S2T8",8,"9/20/24 8:04",2.11184839491314,1,"African Elephant"
2,9,"S2","control","S2T10",10,"10/4/24 22:13",5.8163097322711,0,"African Elephant"
2,9,"S2","control","S2T11",11,"10/5/24 20:39",5.40615735805244,0,"African Elephant"
2,9,"S2","control","S2T11",11,"10/6/24 16:42",4.3720497762458,1,"African Elephant"
2,9,"S2","control","S2T12",12,"10/3/24 20:01",5.24035107911297,0,"African Elephant"
2,9,"S2","control","S2T12",12,"10/3/24 20:42",5.41924732744239,0,"African Elephant"
2,9,"S2","control","S2T12",12,"10/5/24 18:43",4.90001187497408,1,"African Elephant"
