"Farm","Date","Treatment","Cycle","Ele.present","Proximity.m.","Cropdamaged","Area.m2."
1,"9/22/25","Humans",1,"Yes",200,"No",0
1,"9/23/25","Humans",1,"No",NA,"No",0
1,"9/24/25","Humans",1,"No",NA,"No",0
1,"9/25/25","Humans",1,"No",NA,"No",0
1,"9/26/25","Humans",1,"No",NA,"No",0
1,"9/27/25","Humans",1,"No",NA,"No",0
1,"9/28/25","Humans",1,"No",NA,"No",0
1,"9/29/25","Humans",1,"No",NA,"No",0
1,"9/30/25","Humans",1,"No",NA,"No",0
1,"10/1/25","Humans",1,"No",NA,"No",0
1,"10/2/25","Humans",1,"No",NA,"No",0
1,"10/3/25","Humans",1,"No",NA,"No",0
1,"10/4/25","Humans",1,"Yes",100,"No",0
1,"10/5/25","Humans",1,"No",NA,"No",0
1,"10/6/25","Humans",1,"No",NA,"No",0
1,"10/7/25","Humans",1,"No",NA,"No",0
1,"10/8/25","Humans",1,"No",NA,"No",0
1,"10/9/25","Humans",1,"No",NA,"No",0
1,"10/10/25","Humans",1,"No",NA,"No",0
1,"10/11/25","Humans",1,"No",NA,"No",0
1,"10/12/25","Humans",1,"No",NA,"No",0
1,"10/13/25","Humans",1,"No",NA,"No",0
1,"10/14/25","Humans",1,"No",NA,"No",0
1,"10/15/25","Humans",1,"Yes",150,"No",0
1,"10/16/25","Humans",1,"No",NA,"No",0
1,"10/17/25","Humans",1,"No",NA,"No",0
1,"10/18/25","Humans",1,"No",NA,"No",0
1,"10/19/25","Humans",1,"No",NA,"No",0
1,"10/20/25","Humans",1,"No",NA,"No",0
1,"10/21/25","Humans",1,"No",NA,"No",0
1,"10/22/25","Crickets",1,"No",NA,"No",0
1,"10/23/25","Crickets",1,"No",NA,"No",0
1,"10/24/25","Crickets",1,"No",NA,"No",0
1,"10/25/25","Crickets",1,"No",NA,"No",0
1,"10/26/25","Crickets",1,"No",NA,"No",0
1,"10/27/25","Crickets",1,"No",NA,"No",0
1,"10/28/25","Crickets",1,"No",NA,"No",0
1,"10/29/25","Crickets",1,"No",NA,"No",0
1,"10/30/25","Crickets",1,"No",NA,"No",0
1,"10/31/25","Crickets",1,"No",NA,"No",0
1,"11/1/25","Crickets",1,"No",NA,"No",0
1,"11/2/25","Crickets",1,"No",NA,"No",0
1,"11/3/25","Crickets",1,"No",NA,"No",0
1,"11/4/25","Crickets",1,"No",NA,"No",0
1,"11/5/25","Crickets",1,"No",NA,"No",0
1,"11/6/25","Crickets",1,"No",NA,"No",0
1,"11/7/25","Crickets",1,"No",NA,"No",0
1,"11/8/25","Crickets",1,"Yes",20,"No",0
1,"11/9/25","Crickets",1,"No",NA,"No",0
1,"11/10/25","Crickets",1,"No",NA,"No",0
1,"11/11/25","Crickets",1,"No",NA,"No",0
1,"11/12/25","Crickets",1,"Yes",20,"Yes",20
1,"11/13/25","Crickets",1,"No",NA,"No",0
1,"11/14/25","Crickets",1,"No",NA,"No",0
1,"11/15/25","Crickets",1,"Yes",50,"No",0
1,"11/16/25","Crickets",1,"No",NA,"No",0
1,"11/17/25","Crickets",1,"No",NA,"No",0
1,"11/18/25","Crickets",1,"No",NA,"No",0
1,"11/19/25","Crickets",1,"No",NA,"No",0
1,"11/20/25","Crickets",1,"No",NA,"No",0
1,"11/21/25","Crickets",1,"No",NA,"No",0
1,"11/22/25","Crickets",1,"No",NA,"No",0
1,"11/23/25","Crickets",1,"No",NA,"No",0
1,"11/24/25","Crickets",1,"No",NA,"No",0
1,"11/25/25","Crickets",1,"No",NA,"No",0
2,"9/22/25","Humans",1,"No",NA,"No",0
2,"9/23/25","Humans",1,"No",NA,"No",0
2,"9/24/25","Humans",1,"Yes",400,"No",0
2,"9/25/25","Humans",1,"No",NA,"No",0
2,"9/26/25","Humans",1,"No",NA,"No",0
2,"9/27/25","Humans",1,"No",NA,"No",0
2,"9/28/25","Humans",1,"No",NA,"No",0
2,"9/29/25","Humans",1,"No",NA,"No",0
2,"9/30/25","Humans",1,"No",NA,"No",0
2,"10/1/25","Humans",1,"No",NA,"No",0
2,"10/2/25","Humans",1,"No",NA,"No",0
2,"10/3/25","Humans",1,"No",NA,"No",0
2,"10/4/25","Humans",1,"Yes",300,"No",0
2,"10/5/25","Humans",1,"No",NA,"No",0
2,"10/6/25","Humans",1,"No",NA,"No",0
2,"10/7/25","Humans",1,"No",NA,"No",0
2,"10/8/25","Humans",1,"No",NA,"No",0
2,"10/9/25","Humans",1,"No",NA,"No",0
2,"10/10/25","Humans",1,"No",NA,"No",0
2,"10/11/25","Humans",1,"No",NA,"No",0
2,"10/12/25","Humans",1,"No",NA,"No",0
2,"10/13/25","Humans",1,"No",NA,"No",0
2,"10/14/25","Humans",1,"Yes",30,"No",0
2,"10/15/25","Humans",1,"No",NA,"No",0
2,"10/16/25","Humans",1,"No",NA,"No",0
2,"10/17/25","Humans",1,"No",NA,"No",0
2,"10/18/25","Humans",1,"No",NA,"No",0
2,"10/19/25","Humans",1,"No",NA,"No",0
2,"10/20/25","Humans",1,"No",NA,"No",0
2,"10/30/25","Crickets",1,"No",NA,"No",0
2,"10/31/25","Crickets",1,"No",NA,"No",0
2,"11/1/25","Crickets",1,"Yes",20,"No",0
2,"11/2/25","Crickets",1,"No",NA,"No",0
2,"11/3/25","Crickets",1,"No",NA,"No",0
2,"11/4/25","Crickets",1,"No",NA,"No",0
2,"11/5/25","Crickets",1,"No",NA,"No",0
2,"11/6/25","Crickets",1,"No",NA,"No",0
2,"11/7/25","Crickets",1,"No",NA,"No",0
2,"11/8/25","Crickets",1,"No",NA,"No",0
2,"11/9/25","Crickets",1,"Yes",50,"No",0
2,"11/10/25","Crickets",1,"No",NA,"No",0
2,"11/11/25","Crickets",1,"No",NA,"No",0
2,"11/12/25","Crickets",1,"No",NA,"No",0
2,"11/13/25","Crickets",1,"No",NA,"No",0
2,"11/14/25","Crickets",1,"No",NA,"No",0
2,"11/15/25","Crickets",1,"Yes",50,"No",0
2,"11/16/25","Crickets",1,"No",NA,"No",0
2,"11/17/25","Crickets",1,"No",NA,"No",0
2,"11/18/25","Crickets",1,"Yes",20,"Yes",4
2,"11/19/25","Crickets",1,"No",NA,"No",0
2,"11/20/25","Crickets",1,"No",NA,"No",0
2,"11/21/25","Crickets",1,"No",NA,"No",0
2,"11/22/25","Crickets",1,"No",NA,"No",0
2,"11/23/25","Crickets",1,"No",NA,"No",0
2,"11/24/25","Humans",2,"No",NA,"No",0
2,"11/25/25","Humans",2,"No",NA,"No",0
2,"11/26/25","Humans",2,"No",NA,"No",0
2,"11/27/25","Humans",2,"No",NA,"No",0
2,"11/28/25","Humans",2,"No",NA,"No",0
2,"11/29/25","Humans",2,"No",NA,"No",0
2,"11/30/25","Humans",2,"No",NA,"No",0
2,"12/1/25","Humans",2,"No",NA,"No",0
2,"12/2/25","Humans",2,"No",NA,"No",0
2,"12/3/25","Humans",2,"No",NA,"No",0
2,"12/4/25","Humans",2,"No",NA,"No",0
2,"12/5/25","Humans",2,"No",NA,"No",0
2,"12/6/25","Humans",2,"No",NA,"No",0
2,"12/7/25","Humans",2,"No",NA,"No",0
2,"12/8/25","Humans",2,"No",NA,"No",0
2,"12/9/25","Humans",2,"No",NA,"No",0
2,"12/10/25","Humans",2,"No",NA,"No",0
2,"12/11/25","Humans",2,"No",NA,"No",0
2,"12/12/25","Humans",2,"Yes",400,"No ",0
2,"12/13/25","Humans",2,"No",NA,"No",0
2,"12/14/25","Humans",2,"Yes",200,"No ",0
2,"12/15/25","Humans",2,"No",NA,"No",0
2,"12/16/25","Humans",2,"Yes",100,"No ",0
2,"12/17/25","Humans",2,"No",NA,"No",0
2,"12/18/25","Humans",2,"No",NA,"No",0
2,"12/19/25","Humans",2,"No",NA,"No",0
2,"12/20/25","Humans",2,"No",NA,"No",0
2,"12/21/25","Humans",2,"No",NA,"No",0
2,"12/22/25","Humans",2,"No",NA,"No",0
2,"12/23/25","Crickets",2,"Yes",100,"No ",0
2,"12/24/25","Crickets",2,"No",NA,"No",0
2,"12/25/25","Crickets",2,"No",NA,"No",0
2,"12/26/25","Crickets",2,"No",NA,"No",0
2,"12/27/25","Crickets",2,"No",NA,"No",0
2,"12/28/25","Crickets",2,"No",NA,"No",0
2,"12/29/25","Crickets",2,"No",NA,"No",0
2,"12/30/25","Crickets",2,"No",NA,"No",0
2,"12/31/25","Crickets",2,"Yes",50,"Yes",25
2,"1/1/26","Crickets",2,"Yes",50,"No",0
2,"1/2/26","Crickets",2,"Yes",40,"No",0
2,"1/3/26","Crickets",2,"Yes",50,"No",0
2,"1/4/26","Crickets",2,"No",NA,"No",0
2,"1/5/26","Crickets",2,"No",NA,"No",0
2,"1/6/26","Crickets",2,"Yes",50,"No",0
2,"1/7/26","Crickets",2,"Yes",20,"Yes",25
2,"1/8/26","Crickets",2,"Yes",50,"No",0
2,"1/9/26","Crickets",2,"No",NA,"No",0
2,"1/10/26","Crickets",2,"Yes",50,"No",0
2,"1/11/26","Crickets",2,"No",NA,"No",0
2,"1/12/26","Crickets",2,"Yes",50,"Yes",10
2,"1/13/26","Crickets",2,"Yes",50,"Yes",25
2,"1/14/26","Crickets",2,"No",NA,"No",0
2,"1/15/26","Crickets",2,"Yes",80,"No",0
2,"1/16/26","Crickets",2,"Yes",100,"No",0
