"","treatment_period","week_id","grid_id","treatment","camera_id","common_name"
"1",1,2,"N2","control","N2T1","Human"
"2",1,2,"N2","control","N2T1","Human"
"3",1,2,"N2","control","N2T1","Human"
"4",1,2,"N2","control","N2T1","Human"
"5",1,2,"N2","control","N2T1","Human"
"6",1,2,"N2","control","N2T1","Human"
"7",1,2,"N2","control","N2T1","Human"
"8",1,2,"N2","control","N2T1","Human"
"9",1,2,"N2","control","N2T10","Human"
"10",1,2,"N2","control","N2T10","Human"
"11",1,2,"N2","control","N2T10","Human"
"12",1,2,"N2","control","N2T10","Human"
"13",1,2,"N2","control","N2T10","Human"
"14",1,2,"N2","control","N2T10","Human"
"15",1,2,"N2","control","N2T10","Human"
"16",1,2,"N2","control","N2T11","Human"
"17",1,2,"N2","control","N2T11","Human"
"18",1,2,"N2","control","N2T11","Human"
"19",1,2,"N2","control","N2T11","Human"
"20",1,2,"N2","control","N2T11","Human"
"21",1,2,"N2","control","N2T11","Human"
"22",1,2,"N2","control","N2T11","Human"
"23",1,2,"N2","control","N2T12","Human"
"24",1,2,"N2","control","N2T12","Human"
"25",1,2,"N2","control","N2T12","Human"
"26",1,2,"N2","control","N2T12","Human"
"27",1,2,"N2","control","N2T12","Human"
"28",1,2,"N2","control","N2T12","Human"
"29",1,2,"N2","control","N2T2","Human"
"30",1,2,"N2","control","N2T2","Human"
"31",1,2,"N2","control","N2T2","Human"
"32",1,2,"N2","control","N2T2","Human"
"33",1,2,"N2","control","N2T2","Human"
"34",1,2,"N2","control","N2T2","Human"
"35",1,2,"N2","control","N2T3","Human"
"36",1,2,"N2","control","N2T3","Human"
"37",1,2,"N2","control","N2T3","Human"
"38",1,2,"N2","control","N2T3","Human"
"39",1,2,"N2","control","N2T3","Human"
"40",1,2,"N2","control","N2T4","Human"
"41",1,2,"N2","control","N2T4","Human"
"42",1,2,"N2","control","N2T4","Human"
"43",1,2,"N2","control","N2T4","Human"
"44",1,2,"N2","control","N2T4","Human"
"45",1,2,"N2","control","N2T5","Human"
"46",1,2,"N2","control","N2T5","Human"
"47",1,2,"N2","control","N2T5","Human"
"48",1,2,"N2","control","N2T5","Human"
"49",1,2,"N2","control","N2T5","Human"
"50",1,2,"N2","control","N2T5","Human"
"51",1,2,"N2","control","N2T6","Human"
"52",1,2,"N2","control","N2T6","Human"
"53",1,2,"N2","control","N2T6","Human"
"54",1,2,"N2","control","N2T6","Human"
"55",1,2,"N2","control","N2T6","Human"
"56",1,2,"N2","control","N2T7","Human"
"57",1,2,"N2","control","N2T7","Human"
"58",1,2,"N2","control","N2T7","Human"
"59",1,2,"N2","control","N2T7","Human"
"60",1,2,"N2","control","N2T7","Human"
"61",1,2,"N2","control","N2T7","Human"
"62",1,2,"N2","control","N2T7","Human"
"63",1,2,"N2","control","N2T8","Human"
"64",1,2,"N2","control","N2T8","Human"
"65",1,2,"N2","control","N2T8","Human"
"66",1,2,"N2","control","N2T8","Human"
"67",1,2,"N2","control","N2T8","Human"
"68",1,2,"N2","control","N2T8","Human"
"69",1,2,"N2","control","N2T9","Human"
"70",1,2,"N2","control","N2T9","Human"
"71",1,2,"N2","control","N2T9","Human"
"72",1,2,"N2","control","N2T9","Human"
"73",1,2,"N2","control","N2T9","Human"
"74",1,2,"N2","control","N2T9","Human"
"75",1,2,"N2","control","N2T9","Human"
"76",1,2,"N2","control","N2T9","Human"
"77",1,2,"N2","control","N2T9","Human"
"78",1,2,"N2","control","N2T9","Human"
"79",1,2,"S2","human","S2T1","Human"
"80",1,2,"S2","human","S2T1","Human"
"81",1,2,"S2","human","S2T1","Human"
"82",1,2,"S2","human","S2T1","Human"
"83",1,2,"S2","human","S2T1","Human"
"84",1,2,"S2","human","S2T1","Human"
"85",1,2,"S2","human","S2T1","Human"
"86",1,2,"S2","human","S2T1","Human"
"87",1,2,"S2","human","S2T10","Human"
"88",1,2,"S2","human","S2T10","Human"
"89",1,2,"S2","human","S2T10","Human"
"90",1,2,"S2","human","S2T10","Human"
"91",1,2,"S2","human","S2T10","Human"
"92",1,2,"S2","human","S2T10","Human"
"93",1,2,"S2","human","S2T11","Human"
"94",1,2,"S2","human","S2T11","Human"
"95",1,2,"S2","human","S2T11","Human"
"96",1,2,"S2","human","S2T11","Human"
"97",1,2,"S2","human","S2T11","Human"
"98",1,2,"S2","human","S2T12","Human"
"99",1,2,"S2","human","S2T12","Human"
"100",1,2,"S2","human","S2T12","Human"
"101",1,2,"S2","human","S2T12","Human"
"102",1,2,"S2","human","S2T12","Human"
"103",1,2,"S2","human","S2T12","Human"
"104",1,2,"S2","human","S2T12","Human"
"105",1,2,"S2","human","S2T2","Human"
"106",1,2,"S2","human","S2T2","Human"
"107",1,2,"S2","human","S2T2","Human"
"108",1,2,"S2","human","S2T2","Human"
"109",1,2,"S2","human","S2T2","Human"
"110",1,2,"S2","human","S2T3","Human"
"111",1,2,"S2","human","S2T3","Human"
"112",1,2,"S2","human","S2T3","Human"
"113",1,2,"S2","human","S2T3","Human"
"114",1,2,"S2","human","S2T3","Human"
"115",1,2,"S2","human","S2T3","Human"
"116",1,2,"S2","human","S2T3","Human"
"117",1,2,"S2","human","S2T4","Human"
"118",1,2,"S2","human","S2T4","Human"
"119",1,2,"S2","human","S2T4","Human"
"120",1,2,"S2","human","S2T4","Human"
"121",1,2,"S2","human","S2T4","Human"
"122",1,2,"S2","human","S2T4","Human"
"123",1,2,"S2","human","S2T5","Human"
"124",1,2,"S2","human","S2T5","Human"
"125",1,2,"S2","human","S2T5","Human"
"126",1,2,"S2","human","S2T5","Human"
"127",1,2,"S2","human","S2T5","Human"
"128",1,2,"S2","human","S2T5","Human"
"129",1,2,"S2","human","S2T6","Human"
"130",1,2,"S2","human","S2T6","Human"
"131",1,2,"S2","human","S2T6","Human"
"132",1,2,"S2","human","S2T6","Human"
"133",1,2,"S2","human","S2T6","Human"
"134",1,2,"S2","human","S2T6","Human"
"135",1,2,"S2","human","S2T6","Human"
"136",1,2,"S2","human","S2T6","Human"
"137",1,2,"S2","human","S2T7","Human"
"138",1,2,"S2","human","S2T7","Human"
"139",1,2,"S2","human","S2T7","Human"
"140",1,2,"S2","human","S2T7","Human"
"141",1,2,"S2","human","S2T7","Human"
"142",1,2,"S2","human","S2T7","Human"
"143",1,2,"S2","human","S2T8","Human"
"144",1,2,"S2","human","S2T8","Human"
"145",1,2,"S2","human","S2T8","Human"
"146",1,2,"S2","human","S2T8","Human"
"147",1,2,"S2","human","S2T8","Human"
"148",1,2,"S2","human","S2T8","Human"
"149",1,2,"S2","human","S2T9","Human"
"150",1,2,"S2","human","S2T9","Human"
"151",1,2,"S2","human","S2T9","Human"
"152",1,2,"S2","human","S2T9","Human"
"153",1,2,"S2","human","S2T9","Human"
"154",1,2,"S2","human","S2T9","Human"
"155",1,4,"N2","control","N2T1","Human"
"156",1,4,"N2","control","N2T1","Human"
"157",1,4,"N2","control","N2T1","Human"
"158",1,4,"N2","control","N2T1","Human"
"159",1,4,"N2","control","N2T1","Human"
"160",1,4,"N2","control","N2T1","Human"
"161",1,4,"N2","control","N2T1","Human"
"162",1,4,"N2","control","N2T1","Human"
"163",1,4,"N2","control","N2T10","Human"
"164",1,4,"N2","control","N2T10","Human"
"165",1,4,"N2","control","N2T10","Human"
"166",1,4,"N2","control","N2T10","Human"
"167",1,4,"N2","control","N2T10","Human"
"168",1,4,"N2","control","N2T10","Human"
"169",1,4,"N2","control","N2T10","Human"
"170",1,4,"S2","human","S2T12","Human"
"171",1,4,"S2","human","S2T12","Human"
"172",1,4,"S2","human","S2T12","Human"
"173",1,4,"S2","human","S2T12","Human"
"174",1,4,"S2","human","S2T12","Human"
"175",1,4,"S2","human","S2T12","Human"
"176",1,4,"N2","control","N2T2","Human"
"177",1,4,"N2","control","N2T2","Human"
"178",1,4,"N2","control","N2T2","Human"
"179",1,4,"N2","control","N2T2","Human"
"180",1,4,"N2","control","N2T2","Human"
"181",1,4,"N2","control","N2T2","Human"
"182",1,4,"N2","control","N2T3","Human"
"183",1,4,"N2","control","N2T3","Human"
"184",1,4,"N2","control","N2T3","Human"
"185",1,4,"N2","control","N2T3","Human"
"186",1,4,"N2","control","N2T3","Human"
"187",1,4,"N2","control","N2T3","Human"
"188",1,4,"N2","control","N2T3","Human"
"189",1,4,"N2","control","N2T4","Human"
"190",1,4,"N2","control","N2T4","Human"
"191",1,4,"N2","control","N2T4","Human"
"192",1,4,"N2","control","N2T4","Human"
"193",1,4,"N2","control","N2T4","Human"
"194",1,4,"N2","control","N2T4","Human"
"195",1,4,"N2","control","N2T4","Human"
"196",1,4,"N2","control","N2T5","Human"
"197",1,4,"N2","control","N2T5","Human"
"198",1,4,"N2","control","N2T5","Human"
"199",1,4,"N2","control","N2T5","Human"
"200",1,4,"N2","control","N2T5","Human"
"201",1,4,"N2","control","N2T5","Human"
"202",1,4,"N2","control","N2T6","Human"
"203",1,4,"N2","control","N2T6","Human"
"204",1,4,"N2","control","N2T6","Human"
"205",1,4,"N2","control","N2T6","Human"
"206",1,4,"N2","control","N2T6","Human"
"207",1,4,"N2","control","N2T7","Human"
"208",1,4,"N2","control","N2T7","Human"
"209",1,4,"N2","control","N2T7","Human"
"210",1,4,"N2","control","N2T7","Human"
"211",1,4,"N2","control","N2T7","Human"
"212",1,4,"N2","control","N2T7","Human"
"213",1,4,"N2","control","N2T7","Human"
"214",1,4,"N2","control","N2T7","Human"
"215",1,4,"N2","control","N2T8","Human"
"216",1,4,"N2","control","N2T8","Human"
"217",1,4,"N2","control","N2T8","Human"
"218",1,4,"N2","control","N2T8","Human"
"219",1,4,"N2","control","N2T9","Human"
"220",1,4,"N2","control","N2T9","Human"
"221",1,4,"N2","control","N2T9","Human"
"222",1,4,"N2","control","N2T9","Human"
"223",1,4,"N2","control","N2T9","Human"
"224",1,4,"S2","human","S2T1","Human"
"225",1,4,"S2","human","S2T1","Human"
"226",1,4,"S2","human","S2T1","Human"
"227",1,4,"S2","human","S2T1","Human"
"228",1,4,"S2","human","S2T1","Human"
"229",1,4,"S2","human","S2T1","Human"
"230",1,4,"S2","human","S2T1","Human"
"231",1,4,"S2","human","S2T1","Human"
"232",1,4,"S2","human","S2T1","Human"
"233",1,4,"S2","human","S2T10","Human"
"234",1,4,"S2","human","S2T10","Human"
"235",1,4,"S2","human","S2T10","Human"
"236",1,4,"S2","human","S2T10","Human"
"237",1,4,"S2","human","S2T10","Human"
"238",1,4,"S2","human","S2T10","Human"
"239",1,4,"S2","human","S2T11","Human"
"240",1,4,"S2","human","S2T11","Human"
"241",1,4,"S2","human","S2T11","Human"
"242",1,4,"S2","human","S2T11","Human"
"243",1,4,"S2","human","S2T11","Human"
"244",1,4,"S2","human","S2T11","Human"
"245",1,4,"S2","human","S2T11","Human"
"246",1,4,"S2","human","S2T12","Human"
"247",1,4,"S2","human","S2T12","Human"
"248",1,4,"S2","human","S2T12","Human"
"249",1,4,"S2","human","S2T12","Human"
"250",1,4,"S2","human","S2T12","Human"
"251",1,4,"S2","human","S2T12","Human"
"252",1,4,"S2","human","S2T2","Human"
"253",1,4,"S2","human","S2T2","Human"
"254",1,4,"S2","human","S2T2","Human"
"255",1,4,"S2","human","S2T2","Human"
"256",1,4,"S2","human","S2T2","Human"
"257",1,4,"S2","human","S2T2","Human"
"258",1,4,"S2","human","S2T3","Human"
"259",1,4,"S2","human","S2T3","Human"
"260",1,4,"S2","human","S2T3","Human"
"261",1,4,"S2","human","S2T3","Human"
"262",1,4,"S2","human","S2T3","Human"
"263",1,4,"S2","human","S2T4","Human"
"264",1,4,"S2","human","S2T4","Human"
"265",1,4,"S2","human","S2T4","Human"
"266",1,4,"S2","human","S2T4","Human"
"267",1,4,"S2","human","S2T4","Human"
"268",1,4,"S2","human","S2T4","Human"
"269",1,4,"S2","human","S2T5","Human"
"270",1,4,"S2","human","S2T5","Human"
"271",1,4,"S2","human","S2T5","Human"
"272",1,4,"S2","human","S2T5","Human"
"273",1,4,"S2","human","S2T5","Human"
"274",1,4,"S2","human","S2T5","Human"
"275",1,4,"S2","human","S2T6","Human"
"276",1,4,"S2","human","S2T6","Human"
"277",1,4,"S2","human","S2T6","Human"
"278",1,4,"S2","human","S2T6","Human"
"279",1,4,"S2","human","S2T6","Human"
"280",1,4,"S2","human","S2T7","Human"
"281",1,4,"S2","human","S2T7","Human"
"282",1,4,"S2","human","S2T7","Human"
"283",1,4,"S2","human","S2T7","Human"
"284",1,4,"S2","human","S2T7","Human"
"285",1,4,"S2","human","S2T7","Human"
"286",1,4,"S2","human","S2T8","Human"
"287",1,4,"S2","human","S2T8","Human"
"288",1,4,"S2","human","S2T8","Human"
"289",1,4,"S2","human","S2T8","Human"
"290",1,4,"S2","human","S2T8","Human"
"291",1,4,"S2","human","S2T8","Human"
"292",1,4,"S2","human","S2T9","Human"
"293",1,4,"S2","human","S2T9","Human"
"294",1,4,"S2","human","S2T9","Human"
"295",1,4,"S2","human","S2T9","Human"
"296",1,4,"S2","human","S2T9","Human"
"297",1,4,"S2","human","S2T9","Human"
"298",1,4,"S2","human","S2T9","Human"
"299",2,7,"N2","human","N2T1","Human"
"300",2,7,"N2","human","N2T1","Human"
"301",2,7,"N2","human","N2T1","Human"
"302",2,7,"N2","human","N2T1","Human"
"303",2,7,"N2","human","N2T1","Human"
"304",2,7,"N2","human","N2T1","Human"
"305",2,7,"N2","human","N2T1","Human"
"306",2,7,"N2","human","N2T1","Human"
"307",2,7,"N2","human","N2T10","Human"
"308",2,7,"N2","human","N2T10","Human"
"309",2,7,"N2","human","N2T10","Human"
"310",2,7,"N2","human","N2T10","Human"
"311",2,7,"N2","human","N2T10","Human"
"312",2,7,"N2","human","N2T10","Human"
"313",2,7,"N2","human","N2T10","Human"
"314",2,7,"N2","human","N2T11","Human"
"315",2,7,"N2","human","N2T11","Human"
"316",2,7,"N2","human","N2T11","Human"
"317",2,7,"N2","human","N2T11","Human"
"318",2,7,"N2","human","N2T11","Human"
"319",2,7,"N2","human","N2T11","Human"
"320",2,7,"N2","human","N2T11","Human"
"321",2,7,"N2","human","N2T12","Human"
"322",2,7,"N2","human","N2T12","Human"
"323",2,7,"N2","human","N2T12","Human"
"324",2,7,"N2","human","N2T12","Human"
"325",2,7,"N2","human","N2T12","Human"
"326",2,7,"N2","human","N2T12","Human"
"327",2,7,"N2","human","N2T2","Human"
"328",2,7,"N2","human","N2T2","Human"
"329",2,7,"N2","human","N2T2","Human"
"330",2,7,"N2","human","N2T2","Human"
"331",2,7,"N2","human","N2T2","Human"
"332",2,7,"N2","human","N2T2","Human"
"333",2,7,"N2","human","N2T3","Human"
"334",2,7,"N2","human","N2T3","Human"
"335",2,7,"N2","human","N2T3","Human"
"336",2,7,"N2","human","N2T3","Human"
"337",2,7,"N2","human","N2T3","Human"
"338",2,7,"N2","human","N2T3","Human"
"339",2,7,"N2","human","N2T4","Human"
"340",2,7,"N2","human","N2T4","Human"
"341",2,7,"N2","human","N2T4","Human"
"342",2,7,"N2","human","N2T4","Human"
"343",2,7,"N2","human","N2T4","Human"
"344",2,7,"N2","human","N2T4","Human"
"345",2,7,"N2","human","N2T4","Human"
"346",2,7,"N2","human","N2T5","Human"
"347",2,7,"N2","human","N2T5","Human"
"348",2,7,"N2","human","N2T5","Human"
"349",2,7,"N2","human","N2T5","Human"
"350",2,7,"N2","human","N2T5","Human"
"351",2,7,"N2","human","N2T5","Human"
"352",2,7,"N2","human","N2T7","Human"
"353",2,7,"N2","human","N2T7","Human"
"354",2,7,"N2","human","N2T7","Human"
"355",2,7,"N2","human","N2T7","Human"
"356",2,7,"N2","human","N2T7","Human"
"357",2,7,"N2","human","N2T7","Human"
"358",2,7,"N2","human","N2T7","Human"
"359",2,7,"N2","human","N2T8","Human"
"360",2,7,"N2","human","N2T8","Human"
"361",2,7,"N2","human","N2T8","Human"
"362",2,7,"N2","human","N2T8","Human"
"363",2,7,"N2","human","N2T8","Human"
"364",2,7,"N2","human","N2T8","Human"
"365",2,7,"N2","human","N2T8","Human"
"366",2,7,"N2","human","N2T9","Human"
"367",2,7,"N2","human","N2T9","Human"
"368",2,7,"N2","human","N2T9","Human"
"369",2,7,"N2","human","N2T9","Human"
"370",2,7,"N2","human","N2T9","Human"
"371",2,7,"N2","human","N2T9","Human"
"372",2,7,"N2","human","N2T9","Human"
